日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible ads for quality Impressions,Quality Ads,Non-quality Ads,Quality Ads rate,Non-quality Ads rate
20260127,09,朱光宁,3268,稷下書院-mobile,18297,MW_置底創意(展開)_稷下書院-mobile,,,,304,304,164,140,53.95%,46.05%
20260127,09,冰楓科技有限公司,3485,冰楓論壇-exchange,18487,CF_970x90_內文上方第一塊_冰楓論壇-exchange,,,,963,963,859,104,89.20%,10.80%
20260127,09,冰楓科技有限公司,3485,冰楓論壇-exchange,18488,MW_320x100_內文上方第一塊_ 冰楓論壇-exchange,antifroud,,,84,84,68,16,80.95%,19.05%
20260127,09,冰楓科技有限公司,3485,冰楓論壇-exchange,18492,MW_300x250_Banner_ 冰楓論壇-exchange,,,,348,348,312,36,89.66%,10.34%
20260127,09,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,18535,MW_蓋版_縮短網址產生器-reurl,,知名媒體,,19,19,19,0,100.00%,0.00%
20260127,09,CBROOT LTD,3492,包子漫畫(特開流量)-exchange,18557,CF_300x600_指定流量_包子漫畫(特開流量PB)-exchange,,,,165,165,140,25,84.85%,15.15%
20260127,09,CBROOT LTD,3510,包子漫畫_twmanga-exchange,18737,CF_970x90_Banner_ 包子漫畫_twmanga-exchange,,,,314,314,274,40,87.26%,12.74%
20260127,09,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,18876,CF_首頁連結bar下方_縮短網址產生器-reurl-exchange,,知名媒體,,6,6,6,0,100.00%,0.00%
20260127,09,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,18877,MW_首頁連結bar下方_縮短網址產生器-reurl-exchange,,知名媒體,,6,6,6,0,100.00%,0.00%
20260127,09,台灣英文新聞股份有限公司,3537,台灣英文新聞(new)-exchange,18924,CF_300x250_內容頁_右側看版_1_台灣英文新聞(new)-exchange,,知名媒體,,48,48,10,38,20.83%,79.17%
20260127,09,艾得基客行銷顧問股份有限公司,3490,太報,19043,MW_置底創意(展開)_太報,,知名媒體,,6,6,6,0,100.00%,0.00%
20260127,09,艾得基客行銷顧問股份有限公司,3552,玩具人,19044,MW_320x480_文中創意_玩具人,,知名媒體,,18,18,16,2,88.89%,11.11%
20260127,09,先驅媒體社會企業股份有限公司,3554,新頭殼(R18),19047,(子)CF_300x250Banner_newtalk.tw_content_300250_1_新頭殼(R18),,知名媒體,子聯播網,12,12,9,3,75.00%,25.00%
20260127,09,第一網站股份有限公司,2783,漫畫櫃manhuagui,20685,MW_300X250_manhuagui,antifroud,,,"4,480","4,480","3,643",837,81.32%,18.68%
20260127,09,德榕企業有限公司,3578,TW Bodhi_mobile,20707,MW_置底創意_TW Bodhi,,,,36,36,36,0,100.00%,0.00%
20260127,09,德榕企業有限公司,3578,TW Bodhi_mobile,20708,MW_蓋板_TW Bodhi,,,,180,180,180,0,100.00%,0.00%
20260127,09,德榕企業有限公司,3581,忘憂書屋,20727,CF_336x280文章頁(RWD)_忘憂書屋,,,,46,46,46,0,100.00%,0.00%
20260127,09,德榕企業有限公司,3582,忘憂書屋_mobile,20728,MW_文中創意300x250_忘憂書屋,,,,102,102,102,0,100.00%,0.00%
20260127,09,德榕企業有限公司,3582,忘憂書屋_mobile,20730,MW_置底創意_忘憂書屋,,,,30,30,30,0,100.00%,0.00%
20260127,09,第一網站股份有限公司,2916,KiKiNote,20731,CF_300x250_banner_kikinote (PB),,知名媒體,,46,46,46,0,100.00%,0.00%
