日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Reduced Value Inventory (RVI) Ads,Incentivized Browsing (RVI) Ads,Proxy Server (RVI) Ads,seeThrough Ads,Invisible URL Ads,Total Eligible Ads for Site Quality,% Reduced Value Inventory (RVI) Ads,% seeThrough Ads,Invisible URL rate,% Incentivized Browsing (RVI) Ads,% Proxy Server (RVI) Ads
20260126,16,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18007,CF_336x280_文末右側看板_工商時報-exchange,,知名媒體,,26,0,0,0,25,0,26,0.00%,96.15%,0.00%,0.00%,0.00%
20260126,16,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18014,MW_300x250_文末Banner1_工商時報-exchange,,知名媒體,,106,10,0,10,90,0,106,9.43%,84.91%,0.00%,0.00%,9.43%
20260126,16,時報資訊股份有限公司_工商時報,3427,工商時報-exchange,18015,MW_300x250_文末Banner2_工商時報-exchange,,知名媒體,,198,22,0,22,156,0,198,11.11%,78.79%,0.00%,0.00%,11.11%
20260126,16,第一網站股份有限公司,3440,fsa_passback_first,18201,CF_336x280_fsa_passback_first,,,,"1,842",588,0,588,"1,590",0,1842,31.92%,86.32%,0.00%,0.00%,31.92%
20260126,16,第一網站股份有限公司,3440,fsa_passback_first,18202,CF_300x250_fsa_passback_first,,,,"2,999",251,0,251,"2,834",0,2999,8.37%,94.50%,0.00%,0.00%,8.37%
20260126,16,第一網站股份有限公司,3440,fsa_passback_first,18266,(子)CF_970x250_cfbanner_blog,,,子聯播網,"1,528",0,0,0,"1,528",0,1528,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,莊博凱,3455,夢遊電玩,18269,300x250 Banner,,,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,朱光宁,3268,稷下書院-mobile,18297,MW_置底創意(展開)_稷下書院-mobile,,,,112,30,0,30,81,0,112,26.79%,72.32%,0.00%,0.00%,26.79%
20260126,16,冰楓科技有限公司,3485,冰楓論壇-exchange,18487,CF_970x90_內文上方第一塊_冰楓論壇-exchange,,,,"1,053",5,0,5,"1,041",0,1053,0.47%,98.86%,0.00%,0.00%,0.47%
20260126,16,冰楓科技有限公司,3485,冰楓論壇-exchange,18488,MW_320x100_內文上方第一塊_ 冰楓論壇-exchange,antifroud,,,12,0,0,0,12,0,12,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,冰楓科技有限公司,3485,冰楓論壇-exchange,18491,CF_300x250_Banner_ 冰楓論壇-exchange,,,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,冰楓科技有限公司,3485,冰楓論壇-exchange,18492,MW_300x250_Banner_ 冰楓論壇-exchange,,,,500,5,0,5,496,0,500,1.00%,99.20%,0.00%,0.00%,1.00%
20260126,16,闇碼科技股份有限公司,3048,縮短網址產生器-reurl,18535,MW_蓋版_縮短網址產生器-reurl,,知名媒體,,30,2,0,2,23,0,30,6.67%,76.67%,0.00%,0.00%,6.67%
20260126,16,CBROOT LTD,3492,包子漫畫(特開流量)-exchange,18544,(子)CF_300x600_指定流量_包子漫畫(特開流量)-exchange,,,子聯播網,20,0,0,0,20,0,20,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,CBROOT LTD,3510,包子漫畫_twmanga-exchange,18737,CF_970x90_Banner_ 包子漫畫_twmanga-exchange,,,,124,12,0,12,118,0,124,9.68%,95.16%,0.00%,0.00%,9.68%
20260126,16,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,18876,CF_首頁連結bar下方_縮短網址產生器-reurl-exchange,,知名媒體,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,舒禾驊,3535,荷花動漫筆記,18887,CF_336x280_文章頁文中_荷花動漫筆記,,,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,台灣英文新聞股份有限公司,3537,台灣英文新聞(new)-exchange,18911,MW_300x250_首頁_ENDBANNER_5_台灣英文新聞(new)-exchange,,知名媒體,,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,台灣英文新聞股份有限公司,3537,台灣英文新聞(new)-exchange,18914,MW_320x100_內文頁_置頂橫幅_台灣英文新聞(new)-exchange,,知名媒體,,9,0,0,0,9,0,9,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,台灣英文新聞股份有限公司,3537,台灣英文新聞(new)-exchange,18924,CF_300x250_內容頁_右側看版_1_台灣英文新聞(new)-exchange,,知名媒體,,164,18,0,18,121,0,164,10.98%,73.78%,0.00%,0.00%,10.98%
20260126,16,艾得基客行銷顧問股份有限公司,3552,玩具人,19044,MW_320x480_文中創意_玩具人,,知名媒體,,36,4,0,4,24,0,36,11.11%,66.67%,0.00%,0.00%,11.11%
20260126,16,第一網站股份有限公司,2783,漫畫櫃manhuagui,20685,MW_300X250_manhuagui,antifroud,,,"6,620","1,763",0,"1,763","4,996",0,6620,26.63%,75.47%,0.00%,0.00%,26.63%
20260126,16,德榕企業有限公司,3577,TW Bodhi,20705,(子)CF_336x280_文章頁(RWD)_TW Bodhi,antifroud,,子聯播網,8,0,0,0,8,0,8,0.00%,100.00%,0.00%,0.00%,0.00%
20260126,16,德榕企業有限公司,3578,TW Bodhi_mobile,20708,MW_蓋板_TW Bodhi,,,,310,108,0,108,218,0,310,34.84%,70.32%,0.00%,0.00%,34.84%
20260126,16,德榕企業有限公司,3581,忘憂書屋,20727,CF_336x280文章頁(RWD)_忘憂書屋,,,,75,19,0,19,59,0,75,25.33%,78.67%,0.00%,0.00%,25.33%
