日期,小時,版位編號,供應商名稱,網站,網站名稱,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads (Viewability),Eligible Ads for Viewability (Viewability),Measured Ads (Viewability),% Measured Ads (Viewability),Viewable Impressions (Viewability),% Viewable Impressions (Viewability),Non-Viewable Ads (Viewability),% Non-Viewable Ads (Viewability),Average Time In View (Sec) (Viewability),Total Tracked Ads (IVT),Eligible Ads for Invalid Traffic (IVT),Invalid Traffic Ads (IVT),Valid Traffic Ads (IVT),General Invalid Traffic (GIVT) Ads (IVT),Sophisticated Invalid Traffic (SIVT) Ads (IVT),Bots (SIVT) Ads (IVT),Domain Spoofing (SIVT) Ads (IVT),Hidden Ads (SIVT) Ads (IVT),% Eligible for Invalid Traffic (IVT),% Invalid Traffic Ads (IVT),% General Invalid Traffic (GIVT) Ads (IVT),% Sophisticated Invalid Traffic (SIVT) Ads (IVT),% Bots (SIVT) Ads (IVT),% Domain Spoofing (SIVT) Ads (IVT),% Hidden Ads (SIVT) Ads (IVT),Total Tracked Ads (SiteQuality),Reduced Value Inventory (RVI) Ads (SiteQuality),Incentivized Browsing (RVI) Ads (SiteQuality),Proxy Server (RVI) Ads (SiteQuality),seeThrough Ads (SiteQuality),Invisible URL Ads (SiteQuality),Total Eligible Ads for Site Quality (SiteQuality),% Reduced Value Inventory (RVI) Ads (SiteQuality),% seeThrough Ads (SiteQuality),Invisible URL rate (SiteQuality),% Incentivized Browsing (RVI) Ads (SiteQuality),% Proxy Server (RVI) Ads (SiteQuality),Total Tracked Ads (BrandSuitability),MFA Ads (BrandSuitability),AD Clutter Ads (BrandSuitability),Total Eligible Ads for Brand Suitability (BrandSuitability),Brand Suitability Passed Ads (BrandSuitability),Brand Suitability Failed Ads (BrandSuitability),% Brand Suitability Passed Ads (BrandSuitability),% Brand Suitability Failed Ads (BrandSuitability),MFA rate (BrandSuitability),AD Clutter rate (BrandSuitability),Total Tracked Ads (QualImpressions),Eligible ads for quality Impressions (QualImpressions),Quality Ads (QualImpressions),Non-quality Ads (QualImpressions),Quality Ads rate (QualImpressions),Non-quality Ads rate (QualImpressions)
20260126,15,12579,鳳梨傳媒股份有限公司,2190.0,民視新聞網-Exchange,CF_300x250_右側第一塊_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"3,963","1,946","1,946",100.00%,157,8.07%,"1,789",91.93%,1.73,"3,963","3,962",40,"3,922",18,22,22,0,0,99.97%,1.01%,0.45%,0.56%,0.56%,0.00%,0.00%,"3,969",140,0,140,"3,157",0,"3,969",3.53%,79.54%,0.00%,0.00%,3.53%,"3,945",0,0,"3,944","3,857",87,97.79%,2.21%,0.00%,0.00%,"3,975","3,974","3,887",87,97.81%,2.19%
20260126,15,12580,鳳梨傳媒股份有限公司,2190.0,民視新聞網-Exchange,CF_300x250_內文文中左側_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"4,379","2,146","2,146",100.00%,211,9.83%,"1,935",90.17%,1.69,"4,391","4,391",49,"4,342",19,30,30,0,0,100.00%,1.12%,0.43%,0.68%,0.68%,0.00%,0.00%,"4,391",111,0,111,"3,671",0,"4,391",2.53%,83.60%,0.00%,0.00%,2.53%,"4,391",0,0,"4,391","4,262",129,97.06%,2.94%,0.00%,0.00%,"4,397","4,397","4,269",128,97.09%,2.91%
20260126,15,12676,第一網站股份有限公司,2783.0,漫畫櫃manhuagui,CF_728X90_manhuagui,antifroud,,,"42,570","20,872","20,872",100.00%,"7,461",35.75%,"13,411",64.25%,4.38,"42,570","42,570",436,"42,134",297,139,139,0,0,100.00%,1.02%,0.70%,0.33%,0.33%,0.00%,0.00%,"42,582","5,334",0,"5,334","38,699",0,"42,582",12.53%,90.88%,0.00%,0.00%,12.53%,"42,576",0,0,"42,576","31,217","11,359",73.32%,26.68%,0.00%,0.00%,"42,588","42,588","31,224","11,364",73.32%,26.68%
20260126,15,12761,艾得基客行銷顧問股份有限公司,2635.0,工商時報,MW_320x480_文中創意_工商時報new,,知名媒體,,310,153,153,100.00%,111,72.55%,42,27.45%,16.70,310,310,0,310,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,310,28,0,28,245,0,310,9.03%,79.03%,0.00%,0.00%,9.03%,310,0,0,310,301,9,97.10%,2.90%,0.00%,0.00%,310,310,301,9,97.10%,2.90%
20260126,15,12868,第一網站股份有限公司,2801.0,damanwoo,CF-300x250_Banner_damanwoo_大人物,,,,6,2,2,100.00%,0,0.00%,2,100.00%,0.00,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,0,0,6,0,6,0.00%,100.00%,0.00%,0.00%,0.00%,6,0,0,6,6,0,100.00%,0.00%,0.00%,0.00%,6,6,6,0,100.00%,0.00%
20260126,15,12966,第一網站股份有限公司,2820.0,星座好朋友(horofriend88),MW_320x100_horofriend88,antifroud,,,80,40,40,100.00%,40,100.00%,0,0.00%,24.75,80,80,0,80,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80,0,0,0,56,0,80,0.00%,70.00%,0.00%,0.00%,0.00%,80,0,0,80,79,1,98.75%,1.25%,0.00%,0.00%,80,80,79,1,98.75%,1.25%
20260126,15,13032,第一網站股份有限公司,2836.0,vivi01,MW_置底創意_vivi01 ViVi視頻,,,,,,,0.00%,,0.00%,,0.00%,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6,0,0,0,5,0,6,0.00%,83.33%,0.00%,0.00%,0.00%,6,0,0,6,6,0,100.00%,0.00%,0.00%,0.00%,6,6,6,0,100.00%,0.00%
20260126,15,13162,東森電視事業股份有限公司,2014.0,東森新聞網,MW_置底創意(展開)_東森新聞網,antifroud,知名媒體,,338,166,166,100.00%,152,91.57%,14,8.43%,2.68,338,338,2,336,0,2,2,0,0,100.00%,0.59%,0.00%,0.59%,0.59%,0.00%,0.00%,338,4,0,4,201,0,338,1.18%,59.47%,0.00%,0.00%,1.18%,338,0,0,338,332,6,98.22%,1.78%,0.00%,0.00%,338,338,332,6,98.22%,1.78%
20260126,15,13445,曾憲敏,202.0,85小說網,MW_336X280_全量1_85小說網,,,,236,118,118,100.00%,58,49.15%,60,50.85%,7.39,236,236,0,236,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,236,76,0,76,170,0,236,32.20%,72.03%,0.00%,0.00%,32.20%,236,0,0,236,162,74,68.64%,31.36%,0.00%,0.00%,236,236,162,74,68.64%,31.36%
20260126,15,13446,曾憲敏,202.0,85小說網,MW_336X280_全量2_85小說網,,,,"2,703","1,346","1,346",100.00%,739,54.90%,607,45.10%,5.77,"2,703","2,703",0,"2,703",0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,"2,721",746,0,746,"2,029",0,"2,721",27.42%,74.57%,0.00%,0.00%,27.42%,"2,709",0,0,"2,709","1,999",710,73.79%,26.21%,0.00%,0.00%,"2,721","2,721","2,008",713,73.80%,26.20%
