日期,小時,供應商名稱,網站,網站名稱,版位編號,版位名稱,antifroud,知名媒體,子聯播網,Total Tracked Ads,Eligible Ads for Invalid Traffic,Invalid Traffic Ads,Valid Traffic Ads,General Invalid Traffic (GIVT) Ads,Sophisticated Invalid Traffic (SIVT) Ads,Bots (SIVT) Ads,Domain Spoofing (SIVT) Ads,Hidden Ads (SIVT) Ads,% Eligible for Invalid Traffic,% Invalid Traffic Ads,% General Invalid Traffic (GIVT) Ads,% Sophisticated Invalid Traffic (SIVT) Ads,% Bots (SIVT) Ads,% Domain Spoofing (SIVT) Ads,% Hidden Ads (SIVT) Ads
20260126,22,葉志斌,2745,繁中寶可夢卡表生成器-奶爸工作室-exchange,12209,CF_336x280_文中_繁中寶可夢卡表生成器,,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,葉志斌,2745,繁中寶可夢卡表生成器-奶爸工作室-exchange,12210,CF_728x90__文末__繁中寶可夢卡表生成器,,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2540,risu短網址,12496,CF_300x250_popup(直播) _risu短網址,antifroud,知名媒體,,14,14,0,14,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,冰楓科技有限公司,1710,冰楓論壇,12511,MW_300x250_Banner_冰楓論壇-exchange,,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2768,czbooks,12570,CF_728x90_banner_czbooks,,,,"67,186","67,186",191,"66,995",114,77,77,0,0,100.00%,0.28%,0.17%,0.11%,0.11%,0.00%,0.00%
20260126,22,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12579,CF_300x250_右側第一塊_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"3,483","3,483",21,"3,462",9,12,12,0,0,100.00%,0.60%,0.26%,0.34%,0.34%,0.00%,0.00%
20260126,22,鳳梨傳媒股份有限公司,2190,民視新聞網-Exchange,12580,CF_300x250_內文文中左側_民視新聞網-Exchange(RWD)(MCM),,知名媒體,,"3,524","3,524",25,"3,499",12,13,13,0,0,100.00%,0.71%,0.34%,0.37%,0.37%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2783,漫畫櫃manhuagui,12676,CF_728X90_manhuagui,antifroud,,,"98,305","98,305","1,792","96,513","1,632",160,160,0,0,100.00%,1.82%,1.66%,0.16%,0.16%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2801,damanwoo,12868,CF-300x250_Banner_damanwoo_大人物,,,,12,12,0,12,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2820,星座好朋友(horofriend88),12966,MW_320x100_horofriend88,antifroud,,,6,6,0,6,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2836,vivi01,13032,MW_置底創意_vivi01 ViVi視頻,,,,12,12,0,12,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,和運租車股份有限公司,2878,abc好車網,13368,CF_970x90_物件頁下方_abc好車網,,知名媒體,,13,13,0,13,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,曾憲敏,202,85小說網,13445,MW_336X280_全量1_85小說網,,,,"1,230","1,230",2,"1,228",0,2,2,0,0,100.00%,0.16%,0.00%,0.16%,0.16%,0.00%,0.00%
20260126,22,曾憲敏,202,85小說網,13446,MW_336X280_全量2_85小說網,,,,"8,058","8,058",4,"8,054",0,4,4,0,0,100.00%,0.05%,0.00%,0.05%,0.05%,0.00%,0.00%
20260126,22,曾憲敏,601,85小說網_PC,13450,(子)CF_336x280_全量2_85小說網,,,子聯播網,238,238,2,236,0,2,2,0,0,100.00%,0.84%,0.00%,0.84%,0.84%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2768,czbooks,13481,MW_300x250_banner_czbooks,antifroud,,子聯播網,"117,321","117,321",329,"116,992",141,188,188,0,0,100.00%,0.28%,0.12%,0.16%,0.16%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2768,czbooks,13482,(子)CF_300x600_banner_czbooks(限時段),,,子聯播網,"65,996","65,996",143,"65,853",96,47,47,0,0,100.00%,0.22%,0.15%,0.07%,0.07%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2768,czbooks,13483,(子)CF_970x250_banner_czbooks(限時段),,,子聯播網,"71,331","71,331",176,"71,155",116,60,60,0,0,100.00%,0.25%,0.16%,0.08%,0.08%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2910,clickme,13548,(子)CF_300x250_banner_clickme(一般),,,子聯播網,"1,836","1,836",20,"1,816",17,3,3,0,0,100.00%,1.09%,0.93%,0.16%,0.16%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2910,clickme,13549,CF_300x250_banner_clickme(一般),,,,128,128,0,128,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2916,KiKiNote,13576,(子)CF_300x250_banner_kikinote,,知名媒體,子聯播網,"2,052","2,052",8,"2,044",0,8,8,0,0,100.00%,0.39%,0.00%,0.39%,0.39%,0.00%,0.00%
20260126,22,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13858,CF_300x250_網址下方左側_reurl,,知名媒體,,18,18,0,18,0,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20260126,22,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13860,CF_300x250_網址下方右側_reurl,,知名媒體,,24,24,2,22,0,2,2,0,0,100.00%,8.33%,0.00%,8.33%,8.33%,0.00%,0.00%
20260126,22,闇碼科技股份有限公司,2992,縮短網址產生器-reurl-exchange,13861,CF_300x250_網址下方右側(PB)_reurl,,知名媒體,,55,55,29,26,19,10,10,0,0,100.00%,52.73%,34.55%,18.18%,18.18%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2768,czbooks,13903,(子)CF_300x250_banner_czbooks(直播),antifroud,,子聯播網,"301,346","301,346",885,"300,461",426,459,459,0,0,100.00%,0.29%,0.14%,0.15%,0.15%,0.00%,0.00%
20260126,22,第一網站股份有限公司,2783,漫畫櫃manhuagui,13904,(子)CF_300x250_banner_manhuagui(直播),antifroud,,子聯播網,"180,799","180,799","6,392","174,407","3,377","3,015","3,015",0,0,100.00%,3.54%,1.87%,1.67%,1.67%,0.00%,0.00%
20260126,22,陳人鳳,480,飛格寵物家族_PC,1407,CF-728X90_上方通欄_飛格寵物家族,,,,86,86,5,81,0,5,5,0,0,100.00%,5.81%,0.00%,5.81%,5.81%,0.00%,0.00%
20260126,22,陳人鳳,480,飛格寵物家族_PC,1408,CF-300X250_內文_飛格寵物家族,,,,97,97,7,90,0,7,7,0,0,100.00%,7.22%,0.00%,7.22%,7.22%,0.00%,0.00%
